year,month,province_ifls1,district_ifls1,province,district,district_name,precip_cm,lat,lon
1950,1,53.0,2.0,53.0,2.0,sumba timur,16.65,-9.75,120.25
1950,1,52.0,4.0,52.0,4.0,sumbawa,67.0,-8.75,117.75
1950,1,32.0,13.0,32.0,13.0,sumedang,20.33,-6.75,107.75
1950,1,35.0,29.0,35.0,29.0,sumenep,,-6.75,114.25
1950,1,35.0,78.0,35.0,78.0,surabaya,,-6.75,112.75
1950,1,33.0,72.0,33.0,72.0,surakarta,19.82,-7.75,110.75
1950,1,63.0,9.0,63.0,9.0,tabalong,21.03,-2.25,115.25
1950,1,51.0,2.0,51.0,2.0,tabanan,51.51,-8.25,115.25
1950,1,73.0,5.0,73.0,5.0,takalar,,-5.25,119.25
1950,1,73.0,18.0,73.0,18.0,tana toraja,14.910001,-2.75,119.75
1950,1,13.0,4.0,13.0,5.0,tanah datar,36.16,-0.25,100.25
1950,1,63.0,1.0,63.0,1.0,tanah laut,28.87,-3.75,114.75
1950,1,32.0,19.0,32.0,19.0,tangerang,18.03,-6.25,106.75
1950,1,32.0,75.0,32.0,75.0,tangerang,18.03,-6.25,106.75
1950,1,,,18.0,2.0,tanggamus,14.19,-5.25,104.75
1950,1,12.0,72.0,12.0,72.0,tanjung balai,14.969999,2.75,99.75
1950,1,15.0,5.0,,,tanjung jabung,27.59,-0.75,103.25
1950,1,,,15.0,7.0,tanjung jabung barat,18.03,-6.25,106.75
1950,1,,,15.0,6.0,tanjung jabung timur,18.03,-6.25,106.75
1950,1,12.0,2.0,12.0,3.0,tapanuli selatan,25.539999,1.75,99.25
1950,1,12.0,3.0,12.0,4.0,tapanuli tengah,,1.75,98.75
1950,1,12.0,4.0,12.0,5.0,tapanuli utara,25.02,2.25,98.75
1950,1,63.0,5.0,63.0,5.0,tapin,20.5,-2.75,115.25
1950,1,,,64.0,73.0,tarakan,,3.25,117.75
1950,1,32.0,8.0,32.0,8.0,tasikmalaya,41.75,-7.25,108.25
1950,1,12.0,74.0,12.0,74.0,tebing tinggi,22.49,3.25,99.25
1950,1,,,15.0,8.0,tebo,29.77,-7.75,112.75
1950,1,33.0,28.0,33.0,28.0,tegal,,-6.75,109.25
1950,1,33.0,76.0,33.0,76.0,tegal,,-6.75,109.25
1950,1,33.0,23.0,33.0,23.0,temanggung,27.939999,-7.25,110.25
1950,1,53.0,4.0,53.0,,timor tengah selatan,52.65,-9.75,124.25
1950,1,53.0,5.0,53.0,,timor tengah utara,47.329998,-9.25,124.25
1950,1,,,12.0,6.0,toba samosir,21.64,2.75,99.25
1950,1,35.0,3.0,35.0,3.0,trenggalek,24.33,-8.25,111.75
1950,1,35.0,23.0,35.0,23.0,tuban,,-6.75,112.25
